"drama_id","title","country","network","airday","airtime","prod_team","genre","start_date","end_date","status"
"64795","불꽃 속으로","대한민국","TV조선","금토","23:00","윤석암 (기획)+이한호 (극본) 외 1명+김상래 (연출)+최병화 (책임프로듀서)","드라마","2014.04.25","2014.06.28","방송종료"
"65159","비밀의 문 - 의궤 살인사건","대한민국","SBS","월화","22:00","윤선주 (극본)+김형식 (연출)","드라마","2014.09.22","2014.12.09","방송종료"
"65215","빅맨","대한민국","KBS2","월화","22:00","최진원 (극본)+지영수 (연출)","드라마","2014.04.28","2014.06.17","방송종료"
"65796","뻐꾸기 둥지","대한민국","KBS2","월화수목금","19:50","황순영 (극본)+곽기원 (연출) 외 1명","드라마","2014.06.03","2014.11.07","방송종료"
"67113","사랑 주파수 37.2","대한민국","MBC every1","수","21:00","박정희 (극본) 외 1명+신승엽 (연출) 외 1명","드라마","2014.11.12","2014.12.24","방송종료"
"65805","사랑만 할래","대한민국","SBS","월화수목금","19:20","최윤정 (극본)+안길호 (연출)","드라마","2014.06.02","2014.12.12","방송종료"
"67153","선암여고 탐정단","대한민국","JTBC","수","23:00","신광호 (극본)+여운혁 (연출) 외 1명","드라마","2014.12.16","2015.03.18","방송종료"
"65714","소원을 말해봐","대한민국","MBC","월화수목금","19:15","박언희 (극본)+최원석 (연출) 외 1명","드라마","2014.06.23","2015.01.02","방송종료"
"64714","순금의 땅","대한민국","KBS2","월화수목금","09:00","이선희 (극본)+신현수 (연출)","드라마","2014.01.06","2014.08.22","방송종료"
"64919","스무살","대한민국","tvN","월화","21:40","김윤주 (극본) 외 1명+황준혁 (연출)","드라마","2014.01.06","2014.01.07","방송종료"
"67115","스웨덴 세탁소","대한민국","MBC 드라마넷","금","19:10","김윤희 (극본) 외 1명+정환석 (연출) 외 2명","드라마","2014.11.21","2015.03.06","방송종료"
"67187","슴슴한 그대","대한민국","EBS","수","19:50","민예지 (극본)+김태희 (연출)+김한동 (책임프로듀서)","드라마","2014.11.19","2014.11.21","방송종료"
"65298","시월의 어느 멋진 날에","대한민국","SBS","토일","20:45","김미경 (극본)+박신우 (연출)","드라마","2014.02.01","2014.02.02","방송종료"
"63431","시크릿 러브","대한민국","DRAMAcube","금","22:00","김규태 (연출) 외 1명","드라마","2014.06.13","2014.07.11","방송종료"
"65099","신의 선물 - 14일","대한민국","SBS","월화","22:00","최란 (극본)+이동훈 (연출)","드라마","2014.03.03","2014.04.22","방송종료"
"65173","신의 퀴즈 시즌4","대한민국","OCN","일","23:00","박재범 (극본)+이민우 (연출)","드라마","2014.05.18","2014.08.03","방송종료"
"63054","쓰리데이즈","대한민국","SBS","수목","22:00","김은희 (극본)+신경수 (연출) 외 1명","드라마","2014.03.05","2014.05.01","방송종료"
"65597","아내 스캔들 - 바람이 분다","대한민국","TV조선","화","23:00","신명화 (극본)+김성덕 (연출)","드라마","2014.03.18","2014.04.08","방송종료"
"65964","아이언맨","대한민국","KBS2","수목","22:00","김규완 (극본)+김용수 (연출) 외 1명","드라마","2014.09.10","2014.11.13","방송종료"
"65970","아홉수 소년","대한민국","tvN","금토","20:40","박유미 (극본)+유학찬 (연출)","드라마","2014.08.29","2014.10.11","방송종료"
"66691","압구정 백야","대한민국","MBC","월화수목금","20:55","김승모 (기획)+임성한 (극본)+배한천 (연출)","드라마","2014.10.06","2015.05.15","방송종료"
"64809","앙큼한 돌싱녀","대한민국","MBC","수목","22:00","이하나 (극본) 외 1명+고동선 (연출)","드라마","2014.02.27","2014.04.24","방송종료"
"65645","야경꾼 일지","대한민국","MBC","월화","22:00","유동윤 (극본) 외 2명+이주환 (연출) 외 1명","드라마","2014.08.04","2014.10.21","방송종료"
"65389","어떤 안녕","대한민국","웹드라마",,,"원태연 (극본) 외 1명+원태연 (연출)","드라마","2014.02.17","2014.02.25","방송종료"
"66302","엄마의 선택","대한민국","SBS","일","20:45","정도윤 (극본)+김진근 (연출)","드라마","2014.10.12","2014.10.12","방송종료"
"65276","엄마의 정원","대한민국","MBC","월화수목금","20:55","박정란 (극본)+노도철 (연출) 외 1명","드라마","2014.03.17","2014.09.18","방송종료"
"64980","엔젤아이즈","대한민국","SBS","토일","21:55","윤지련 (극본)+최문석 (연출) 외 1명","드라마","2014.04.05","2014.06.15","방송종료"
"65270","여자만화 구두","대한민국","SBS 플러스","월화","15:30","이미림 (극본)+안길호 (연출) 외 1명","드라마","2014.02.24","2014.03.25","방송종료"
"65901","연애 말고 결혼","대한민국","tvN","금토","20:40","주화미 (극본)+송현욱 (연출)","드라마","2014.07.04","2014.08.23","방송종료"
"65876","연애의 발견","대한민국","KBS2","월화","22:00","정현정 (극본)+김성윤 (연출) 외 1명","드라마","2014.08.18","2014.10.07","방송종료"
"66259","오만과 편견","대한민국","MBC","월화","22:00","이현주 (극본)+김진민 (연출)","드라마","2014.10.27","2015.01.13","방송종료"
"65213","왔다! 장보리","대한민국","MBC","토일","20:45","김순옥 (극본)+백호민 (연출)","드라마","2014.04.05","2014.10.12","방송종료"
"66597","왕의 얼굴","대한민국","KBS2","수목","21:50","이향희 (극본) 외 1명+윤성식 (연출) 외 1명","드라마","2014.11.19","2015.02.05","방송종료"
"64835","우리가 사랑할 수 있을까","대한민국","JTBC","월화","21:45","박민정 (극본)+김윤철 (연출)","드라마","2014.01.06","2014.03.11","방송종료"
"65653","운명처럼 널 사랑해","대한민국","MBC","수목","22:00","주찬옥 (극본) 외 1명+이동윤 (연출) 외 1명","드라마","2014.07.02","2014.09.04","방송종료"
"65601","유나의 거리","대한민국","JTBC","월화","21:40","김운경 (극본)+임태우 (연출)","드라마","2014.05.19","2014.11.11","방송종료"
"65979","유혹","대한민국","SBS","월화","22:00","한지훈 (극본)+박영수 (연출)","드라마","2014.07.14","2014.09.16","방송종료"
"64947","응급남녀","대한민국","tvN","금토","20:40","최윤정 (극본)+김철규 (연출)","드라마","2014.01.24","2014.04.05","방송종료"
"66576","일리있는 사랑","대한민국","tvN","월화","23:00","김도우 (극본)+한지승 (연출)","드라마","2014.12.01","2015.02.03","방송종료"
"66332","일편단심 민들레","대한민국","KBS2","월화수목금","09:00","염일호 (극본) 외 1명+신창석 (연출)","드라마","2014.08.25","2015.02.27","방송종료"
"65696","잉여공주","대한민국","tvN","목","23:00","지은이 (극본) 외 2명+백승룡 (연출)","드라마","2014.08.07","2014.10.09","방송종료"
"66605","장미빛 연인들","대한민국","MBC","토일","20:45","김사경 (극본)+윤재문 (연출)","드라마","2014.10.18","2015.04.12","방송종료"
"66461","전설의 마녀","대한민국","MBC","토일","21:55","구현숙 (극본)+주성우 (연출)","드라마","2014.10.25","2015.03.08","방송종료"
"63553","정도전","대한민국","KBS1","토일","21:40","정현민 (극본)+강병택 (연출) 외 1명","드라마","2014.01.04","2014.06.29","방송종료"
"65195","조선 총잡이","대한민국","KBS2","수목","22:00","이정우 (극본) 외 1명+김정민 (연출) 외 1명","드라마","2014.06.25","2014.09.04","방송종료"
"64618","참 좋은 시절","대한민국","KBS2","토일","19:55","이경희 (극본)+김진원 (연출) 외 1명+문보현 (책임프로듀서)","드라마","2014.02.22","2014.08.10","방송종료"
"66763","천국의 눈물","대한민국","MBN","토일","18:20","김연신 (극본) 외 1명+유제원 (연출)","드라마","2014.10.11","2015.01.03","방송종료"
"64881","천상여자 (天上女子)","대한민국","KBS2","월화수목금","19:50","안소민 (극본) 외 1명+어수선 (연출) 외 1명","드라마","2014.01.06","2014.06.02","방송종료"
"66179","청담동 스캔들","대한민국","SBS","월화수목금","08:30","김지은 (극본)+정효 (연출)","드라마","2014.07.21","2015.01.02","방송종료"
"66303","최고의 결혼","대한민국","TV조선","토","23:00","윤석암 (기획)+고윤희 (극본)+오종록 (연출)+최병화 (책임프로듀서)","드라마","2014.09.27","2014.12.27","방송종료"
"65057","태양은 가득히","대한민국","KBS2","월화","22:00","허성혜 (극본)+배경수 (연출) 외 1명","드라마","2014.02.17","2014.04.08","방송종료"
"65329","트라이앵글","대한민국","MBC","월화","22:00","최완규 (극본)+유철용 (연출) 외 1명","드라마","2014.05.05","2014.07.29","방송종료"
"65877","트로트의 연인","대한민국","KBS2","월화","22:00","오선형 (극본) 외 1명+이재상 (연출) 외 1명","드라마","2014.06.23","2014.08.12","방송종료"
"64769","파랑새는 있다","대한민국","TV조선","금토일","20:30","허승민 (극본)+손희창 (연출)","드라마","2014.01.31","2014.02.02","방송종료"
"66847","펀치","대한민국","SBS","월화","22:00","박경수 (극본)+이명우 (연출)","드라마","2014.12.15","2015.02.17","방송종료"
"66702","폭풍의 여자","대한민국","MBC","월화수목금","07:50","은주영 (극본)+이민수 (연출) 외 1명","드라마","2014.11.03","2015.05.15","방송종료"
"64687","플루토 비밀결사대","대한민국","EBS","금","18:00","이유선 (극본)+이호 (연출) 외 1명","드라마","2014.02.07","2014.05.23","방송종료"
"66612","피노키오","대한민국","SBS","수목","22:00","박혜련 (극본)+조수원 (연출) 외 1명","드라마","2014.11.12","2015.01.15","방송종료"
"66916","하녀들","대한민국","JTBC","금토","21:45","조현경 (극본)+조현탁 (연출)","드라마","2014.12.12","2015.03.28","방송종료"
"65500","하늘벽에 오르다","대한민국","KBS2","금","13:00",,"드라마","2014.04.18","2014.04.18","방송종료"
"66352","하숙 24번지","대한민국","MBC every1","화","18:00","이순옥 (연출)","시트콤","2014.09.23","2014.12.09","방송종료"
"65882","하이스쿨 - 러브온","대한민국","KBS2","금","20:50","이재연 (극본)+성준해 (연출) 외 2명","드라마","2014.07.11","2014.12.19","방송종료"
"65277","호텔킹","대한민국","MBC","토일","21:55","조은정 (극본)+애쉬번 (연출) 외 2명","드라마","2014.04.05","2014.07.27","방송종료"
"66249","황금거탑","대한민국","tvN","수","23:00","민진기 (연출)","드라마","2014.07.23","2014.10.01","방송종료"
"65813","힐러","대한민국","KBS2","월화","22:00","송지나 (극본)+이정섭 (연출) 외 1명","드라마","2014.12.08","2015.02.10","방송종료"
"66902","Miss 맘마미아","대한민국","KBS Drama","수목","23:00","박성진 (극본) 외 1명+김종창 (연출)","드라마","2015.01.28","2015.03.12","방송종료"
"67124","가면","대한민국","SBS","수목","22:00","최호철 (극본)+부성철 (연출)","드라마","2015.05.27","2015.07.30","방송종료"
"68504","가족을 지켜라","대한민국","KBS1","월화수목금","20:25","홍영희 (극본)+전성홍 (연출)","드라마","2015.05.11","2015.10.30","방송종료"
"67493","결혼 이야기","대한민국","KBS2","월화수목","20:30","김진환 (연출) 외 1명","드라마","2015.01.01","2015.02.12","방송종료"
"67958","구여친클럽","대한민국","tvN","금토","20:30","이진매 (극본)+권석장 (연출)","드라마","2015.05.08","2015.06.13","방송종료"
"67232","처용 시즌2","대한민국","OCN","일","23:00","홍승현 (극본)+강철우 (연출)","드라마","2015.08.23","2015.10.18","방송종료"
"69245","그녀는 예뻤다","대한민국","MBC","수목","22:00","조성희 (극본)+정대윤 (연출)","드라마","2015.09.16","2015.11.11","방송종료"
"67955","그래도 푸르른 날에","대한민국","KBS2","월화수목금","09:00","김지수 (극본) 외 1명+어수선 (연출)","드라마","2015.03.02","2015.08.28","방송종료"
"75484","나에게 건배","대한민국+일본","올리브","목","23:00","이정 (극본) 외 1명+임은 (연출)","드라마","2015.12.10","2016.01.07","방송종료"
"67218","나의 유감스러운 남자친구","대한민국","MBC 드라마넷","금토","19:00","이재윤 (극본)+남기훈 (연출)","드라마","2015.04.10","2015.05.30","방송종료"
"72308","나의 판타스틱한 장례식","대한민국","SBS","토","08:30","김은향 (극본)+박선호 (연출)","드라마","2015.09.26","2015.09.26","방송종료"
"68992","내 딸, 금사월","대한민국","MBC","토일","22:00","김순옥 (극본)+백호민 (연출) 외 1명","드라마","2015.09.05","2016.02.28","방송종료"
"67065","내 마음 반짝반짝","대한민국","SBS","토일","21:55","조정선 (극본)+오세강 (연출) 외 1명","드라마","2015.01.17","2015.04.12","방송종료"
"72069","내일도 승리","대한민국","MBC","월화수목금","07:50","홍승희 (극본)+정지인 (연출) 외 1명","드라마","2015.11.02","2016.04.29","방송종료"
"67885","내일을 향해 뛰어라","대한민국","SBS","금","09:10","윤지수 (극본)+오충환 (연출)","드라마","2015.02.20","2015.02.20","방송종료"
"67584","냄새를 보는 소녀","대한민국","SBS","수목","22:00","이희명 (극본)+백수찬 (연출) 외 1명","드라마","2015.04.01","2015.05.21","방송종료"
"68125","너를 기억해","대한민국","KBS2","월화","22:00","권기영 (극본)+노상훈 (연출) 외 1명","드라마","2015.06.22","2015.08.11","방송종료"
"73988","너를 노린다","대한민국","SBS","토","08:30","김현정 (극본)+이정흠 (연출)","드라마","2015.12.26","2015.12.26","방송종료"
"68392","너를 사랑한 시간","대한민국","SBS","토일","21:55","정도윤 (극본) 외 1명+조수원 (연출)","드라마","2015.06.27","2015.08.16","방송종료"
"67824","눈길","대한민국","KBS1","토일",,"유보라 (극본)+이나정 (연출)","드라마","2015.02.28","2015.03.01","방송종료"
"69281","다 잘될 거야","대한민국","KBS2","월화수목금","19:50","이선희 (극본)+김원용 (연출)","드라마","2015.08.31","2016.01.29","방송종료"
"69142","달콤살벌 패밀리","대한민국","MBC","수목","22:00","손근주 (극본) 외 1명+강대선 (연출)","드라마","2015.11.18","2016.01.14","방송종료"
"69070","당신을 주문합니다","대한민국","네이버 TV캐스트","월수일",,"이문휘 (극본) 외 1명+안길호 (연출)","드라마","2015.07.05","2015.07.29","방송종료"
"68105","더 러버","대한민국","Mnet","목","23:00","김민석 (극본)+김태은 (연출)","드라마","2015.04.02","2015.06.25","방송종료"
"68352","돌아온 황금복","대한민국","SBS","월화수목금","19:20","마주희 (극본)+윤류해 (연출)","드라마","2015.06.08","2015.12.11","방송종료"
"69060","두번째 스무살","대한민국","tvN","금토","20:30","소현경 (극본)+김형식 (연출)","드라마","2015.08.28","2015.10.17","방송종료"
"68720","디 데이","대한민국","JTBC","금토","20:30","황은경 (극본)+장용우 (연출)","드라마","2015.09.18","2015.11.21","방송종료"
"68418","딱 너 같은 딸","대한민국","MBC","월화수목금","20:55","김승모 (기획)+가성진 (극본)+오현종 (연출) 외 1명","드라마","2015.05.18","2015.11.06","방송종료"
"66918","떴다! 패밀리","대한민국","SBS","토일","20:45","김신혜 (극본)+주동민 (연출)","드라마","2015.01.03","2015.03.15","방송종료"
"68659","라스트","대한민국","JTBC","금토","20:30","한지훈 (극본)+조남국 (연출)","드라마","2015.07.24","2015.09.12","방송종료"
"72808","라이더스 : 내일을 잡아라","대한민국","E채널","일","23:00","박상희 (극본)+최도훈 (연출)","드라마","2015.11.08","2016.01.24","방송종료"
"73369","리멤버 - 아들의 전쟁","대한민국","SBS","수목","22:00","윤현호 (극본)+이창민 (연출)","드라마","2015.12.09","2016.02.18","방송종료"
"74968","마녀의 성","대한민국","SBS","월화수목금","19:20","박예경 (극본)+정효 (연출)","드라마","2015.12.14","2016.06.10","방송종료"
"70068","마을-아치아라의 비밀","대한민국","SBS","수목","22:00","도현정 (극본)+이용석 (연출)","드라마","2015.10.07","2015.12.03","방송종료"
"67276","막돼먹은 영애씨 시즌14","대한민국","tvN","월화","23:00","명수현 (극본) 외 4명+한상재 (연출) 외 1명","드라마","2015.08.10","2015.10.05","방송종료"
"68118","맨도롱 또똣","대한민국","MBC","수목","22:00","홍정은 (극본) 외 1명+박홍균 (연출)","드라마","2015.05.13","2015.07.02","방송종료"
"67461","미생물","대한민국","tvN","금","21:50","곽경윤 (극본) 외 1명+백승룡 (연출)","드라마","2015.01.02","2015.01.09","방송종료"
"68854","미세스캅","대한민국","SBS","월화","22:00","황주하 (극본)+유인식 (연출) 외 1명","드라마","2015.08.03","2015.09.29","방송종료"
"70688","발칙하게 고고","대한민국","KBS2","월화","22:00","윤수정 (극본) 외 1명+이은진 (연출) 외 1명","드라마","2015.10.05","2015.11.10","방송종료"
"67918","밤을 걷는 선비","대한민국","MBC","수목","22:00","장현주 (극본) 외 1명+이성준 (연출)","드라마","2015.07.08","2015.09.10","방송종료"
