,crew_type,crew_type_seq,drama_id,person_code,person_name,person_pic_url,person_role
206,배우,6,50381,19155,최종원,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile189.uf.daum.net%2Fimage%2F1268760F49B4B702E10B5D,허명환 역
207,배우,7,50381,17188,윤주상,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile189.uf.daum.net%2Fimage%2F155A6D0E49B4B779E0F6FB,손철만 역
208,배우,8,50381,740664,박승태,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile189.uf.daum.net%2Fimage%2F1278BA0C49B4B7C4296F76,노경자 역
209,배우,9,50381,18018,옥고운,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F15793A0C49B4B8224256A1,유민영 역
210,배우,10,50381,24991,이호영,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile70.uf.daum.net%2Fimage%2F230DDD365656A65F032469,박정우 역
211,배우,11,50381,26128,전익령,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile66.uf.daum.net%2Fimage%2F253F3A3D569C8CA5314246,출연
212,배우,12,50381,31706,배수빈,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile168.uf.daum.net%2Fimage%2F274BD337AA9D1940203A93,출연
213,배우,13,50381,18169,임주환,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcontentshub%2Fsdb%2F742faa618d5e1d2801f8c1d90497a0b7aa7b851837d80c7986178d09c894d493,지운 역
214,배우,14,50381,506063,김현수,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile69.uf.daum.net%2Fimage%2F155CB1023E95EC42E6725D,출연
215,배우,15,50381,34928,김사희,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile66.uf.daum.net%2Fimage%2F214F8837AA88D1650F8CFE,출연
216,배우,16,50381,73926,강이석,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile168.uf.daum.net%2Fimage%2F236D8E4D592243F022DF26,한별 역
217,배우,17,50381,796004,이지완,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile167.uf.daum.net%2Fimage%2F121DF54350A605020478EB,윤아 역
